Date,AAPL,DIA,DIS,IWM,JPM,MSFT,PFE,SPY,V,XOM
2019-08-27,49.159759521484375,230.00848388671875,131.4969024658203,133.7879638671875,89.33438873291016,128.6859130859375,24.720033645629883,261.1579895019531,171.0272979736328,50.687278747558594
2019-08-28,49.48963928222656,232.31927490234375,133.51104736328125,135.34889221191406,90.22994232177734,128.51527404785156,25.252723693847656,262.9969482421875,171.30540466308594,51.05691146850586
2019-08-29,50.32759475708008,235.45095825195312,134.7723388671875,137.72264099121094,92.27446746826172,130.94223022460938,25.432689666748047,266.35614013671875,173.70225524902344,51.62269973754883
2019-08-30,50.262577056884766,235.6561279296875,134.2052459716797,137.47320556640625,92.815185546875,130.69573974609375,25.591066360473633,266.23785400390625,173.36671447753906,51.660430908203125
2019-09-03,49.53057098388672,233.23826599121094,133.2763671875,135.45970153808594,91.71686553955078,128.9703369140625,26.001388549804688,264.6811218261719,171.81353759765625,51.72077560424805
2019-09-04,50.37093734741211,235.47767639160156,134.82122802734375,136.54959106445312,92.82363891601562,130.4777069091797,25.792631149291992,267.685302734375,174.27757263183594,52.27147674560547
2019-09-05,51.35576629638672,238.8234100341797,135.75006103515625,139.08956909179688,94.9357681274414,132.77197265625,26.159757614135742,271.1266174316406,177.1155242919922,53.01077651977539
2019-09-06,51.350948333740234,239.39456176757812,136.44427490234375,138.45230102539062,95.13850402832031,131.8713836669922,26.274930953979492,271.3359069824219,178.08389282226562,53.5086669921875
2019-09-09,51.570064544677734,239.82260131835938,135.74029541015625,140.30880737304688,97.49563598632812,130.37339782714844,26.51248550415039,271.4725341796875,174.06663513183594,53.931129455566406
2019-09-10,52.179264068603516,240.34909057617188,132.7679443359375,142.1006622314453,98.73757934570312,129.00827026367188,26.90840721130371,271.4088439941406,169.08096313476562,54.36866760253906
2019-09-11,53.838321685791016,242.40113830566406,133.15904235839844,145.01002502441406,99.0079345703125,129.04615783691406,26.93000602722168,273.3387145996094,167.76748657226562,54.26305389404297
2019-09-12,53.71792984008789,242.96324157714844,134.43988037109375,145.0469512939453,99.61620330810547,130.37339782714844,26.836427688598633,274.2855224609375,170.64378356933594,54.30077362060547
2019-09-13,52.67288589477539,243.21304321289062,134.94833374023438,145.29637145996094,101.5762710571289,130.183837890625,26.5700740814209,274.10345458984375,169.9630889892578,54.79867172241211
2019-09-16,52.949790954589844,241.93724060058594,132.77774047851562,145.84130859375,100.67227935791016,129.24525451660156,26.51248550415039,273.2568359375,168.850830078125,55.620948791503906
2019-09-17,53.14242935180664,242.28512573242188,133.2763671875,145.46267700195312,100.17381286621094,130.2501983642578,26.274930953979492,273.9486999511719,169.17684936523438,55.1984977722168
2019-09-18,53.640865325927734,242.65098571777344,133.75547790527344,144.5667266845703,101.17916870117188,131.32142639160156,26.188552856445312,274.1125793457031,168.064697265625,54.93446731567383
2019-09-19,53.20504379272461,242.1603240966797,130.3333740234375,143.86473083496094,100.85814666748047,133.7389678955078,26.282127380371094,274.0943603515625,168.70703125,54.5648193359375
2019-09-20,52.427276611328125,240.7982177734375,129.3262939453125,143.55995178222656,100.4526138305664,132.1936492919922,26.411706924438477,272.7993469238281,166.8853759765625,54.37621307373047
2019-09-23,52.6656608581543,240.8965606689453,129.51206970214844,143.44912719726562,100.43570709228516,131.90924072265625,26.087772369384766,272.7353210449219,167.7003173828125,54.4139404296875
2019-09-24,52.41523742675781,239.65345764160156,129.03297424316406,141.283935546875,99.1261978149414,130.2406768798828,25.92220115661621,270.5951843261719,167.28802490234375,53.66708755493164
2019-09-25,53.22189712524414,241.0933380126953,130.1280517578125,142.83180236816406,99.6922378540039,132.11781311035156,25.843019485473633,272.1957702636719,168.05506896972656,53.82550811767578
2019-09-26,52.9473876953125,240.46725463867188,128.34854125976562,141.2375946044922,98.87274169921875,132.28846740722656,25.756628036499023,271.6286315917969,168.40985107421875,53.53885269165039
